0.189,-4.3083,2.3554
0.19,-4.3188,2.3564
0.191,-4.3283,2.3582
0.192,-4.3378,2.3591
0.193,-4.3448,2.3608
0.194,-4.3496,2.3609
0.195,-4.3578,2.362
0.196,-4.3681,2.3627
0.197,-4.3758,2.3641
0.198,-4.3849,2.3644
0.199,-4.3978,2.3664
0.2,-4.4045,2.3671
0.201,-4.4133,2.3683
0.202,-4.4226,2.3691
0.203,-4.4307,2.3703
0.204,-4.4397,2.3707
0.205,-4.4524,2.3722
0.206,-4.4628,2.3733
0.207,-4.473,2.3747
0.208,-4.4846,2.3761
0.209,-4.4891,2.3768
0.21,-4.5017,2.3774
0.211,-4.5131,2.3792
0.212,-4.5253,2.38
0.213,-4.5389,2.3822
0.214,-4.5494,2.3834
0.215,-4.5602,2.3854
0.216,-4.5654,2.3859
0.217,-4.5761,2.387
0.218,-4.5895,2.3887
0.219,-4.5944,2.39
0.22,-4.6005,2.39
0.221,-4.6112,2.391
0.222,-4.626,2.3923
0.223,-4.6374,2.3942
0.224,-4.6479,2.3952
0.225,-4.6571,2.3967
0.226,-4.668,2.3976
0.227,-4.6766,2.3991
0.228,-4.6854,2.3994
0.229,-4.6994,2.401
0.23,-4.7125,2.4023
0.231,-4.7249,2.4042
0.232,-4.7367,2.4053
0.233,-4.7478,2.4071
0.234,-4.7579,2.4077
0.235,-4.7775,2.4102
0.236,-4.7891,2.4124
0.237,-4.7953,2.4136
0.238,-4.8088,2.4151
0.239,-4.816,2.4169
0.24,-4.8251,2.4175
0.241,-4.8353,2.4192
0.242,-4.8449,2.4199
0.243,-4.86,2.4221
0.244,-4.8704,2.4238
0.245,-4.8755,2.425
0.246,-4.8853,2.4257
0.247,-4.8953,2.4273
0.248,-4.9077,2.4284
0.249,-4.918,2.4304
0.25,-4.9274,2.4313
0.251,-4.9362,2.433
0.252,-4.9475,2.4338
0.253,-4.9583,2.4363
0.254,-4.962,2.4361
0.255,-4.9793,2.4386
0.256,-4.9823,2.4394
0.257,-4.9914,2.4405
0.258,-4.9983,2.4408
0.259,-5.0136,2.4424
0.26,-5.0255,2.4439
0.261,-5.0365,2.4457
0.262,-5.0452,2.4465
0.263,-5.0605,2.4485
0.264,-5.0691,2.4498
0.265,-5.0829,2.4516
0.266,-5.0927,2.4534
0.267,-5.1007,2.4548
0.268,-5.1096,2.4561
0.269,-5.1162,2.4574
0.27,-5.123,2.4579
0.271,-5.135,2.4594
0.272,-5.1442,2.4605
0.273,-5.1571,2.4619
0.274,-5.1712,2.4639
0.275,-5.1782,2.4655
0.276,-5.1881,2.4666
0.277,-5.1981,2.4685
0.278,-5.2051,2.4695
0.279,-5.2131,2.4708
0.28,-5.2218,2.472
0.281,-5.2277,2.4732
0.282,-5.2345,2.4736
0.283,-5.2436,2.4747
0.284,-5.2555,2.4756
0.285,-5.2673,2.4776
0.286,-5.2733,2.478
0.287,-5.2881,2.4796
0.288,-5.2979,2.4808
0.289,-5.3137,2.4828
0.29,-5.3201,2.4845
0.291,-5.3271,2.4852
0.292,-5.3367,2.4863
0.293,-5.3465,2.487
0.294,-5.3639,2.4889
0.295,-5.3717,2.4903
0.296,-5.3881,2.4915
0.297,-5.4049,2.4944
0.298,-5.4142,2.496
0.299,-5.4266,2.4982
0.3,-5.4347,2.4998
0.301,-5.442,2.5014
0.302,-5.4487,2.5023
0.303,-5.4602,2.504
0.304,-5.4681,2.5054
0.305,-5.4771,2.507
0.306,-5.4838,2.5082
0.307,-5.4914,2.5094
0.308,-5.4978,2.5104
0.309,-5.5074,2.5114
0.31,-5.5171,2.5129
0.311,-5.5231,2.5134
0.312,-5.5389,2.5149
0.313,-5.5496,2.5167
0.314,-5.5627,2.5183
0.315,-5.573,2.5204
0.316,-5.5799,2.5217
0.317,-5.5863,2.5227
0.318,-5.5985,2.5239
0.319,-5.6089,2.5258
0.32,-5.6174,2.5271
0.321,-5.6272,2.5286
0.322,-5.6351,2.53
0.323,-5.6426,2.531
0.324,-5.6543,2.5324
0.325,-5.6637,2.5337
0.326,-5.6791,2.5356
0.327,-5.6842,2.5373
0.328,-5.6948,2.5381
0.329,-5.7072,2.5403
0.33,-5.7166,2.5415
0.331,-5.7297,2.5437
0.332,-5.7382,2.5453
0.333,-5.7485,2.5475
0.334,-5.75,2.5488
0.335,-5.7549,2.5489
0.336,-5.7711,2.5508
0.337,-5.7781,2.5525
0.338,-5.7908,2.554
0.339,-5.7999,2.5561
0.34,-5.8076,2.5576
0.341,-5.8135,2.5592
0.342,-5.8225,2.5606
0.343,-5.8257,2.562
0.344,-5.8353,2.5629
0.345,-5.8424,2.5649
0.346,-5.8483,2.5656
0.347,-5.8561,2.5674
0.348,-5.8613,2.5681
0.349,-5.8682,2.5694
0.35,-5.8787,2.5701
0.351,-5.8922,2.5727
0.352,-5.8942,2.5737
0.353,-5.904,2.575
0.354,-5.9114,2.5764
0.355,-5.9174,2.5777
0.356,-5.9248,2.5786
0.357,-5.9353,2.5802
0.358,-5.9444,2.5817
0.359,-5.9524,2.5836
0.36,-5.9553,2.5844
0.361,-5.9656,2.5858
0.362,-5.9706,2.5871
0.363,-5.9772,2.5881
0.364,-5.9853,2.5892
0.365,-5.9961,2.5906
0.366,-6.0044,2.5922
0.367,-6.012,2.5933
0.368,-6.0239,2.5951
0.369,-6.0305,2.5966
