0.0001,0.99636
0.0002,0.98734
0.0003,0.98735
0.0004,0.97953
0.0005,0.97955
0.0006,0.97258
0.0007,0.97262
0.0008,0.96639
0.0009,0.96645
0.001,0.9609
0.0011,0.96098
0.0012,0.95603
0.0013,0.95613
0.0014,0.95175
0.0015,0.95186
0.0016,0.94799
0.0017,0.94813
0.0018,0.94473
0.0019,0.94489
0.002,0.9419
0.0021,0.94208
0.0022,0.93947
0.0023,0.93966
0.0024,0.93741
0.0025,0.93761
0.0026,0.93567
0.0027,0.93589
0.0028,0.93423
0.0029,0.93446
0.003,0.93304
0.0031,0.93328
0.0032,0.9321
0.0033,0.93236
0.0034,0.93138
0.0035,0.93165
0.0036,0.93085
0.0037,0.93114
0.0038,0.9305
0.0039,0.93078
0.004,0.9303
0.0041,0.93059
0.0042,0.93024
0.0043,0.93054
0.0044,0.9303
0.0045,0.93062
0.0046,0.93047
0.0047,0.93077
0.0048,0.93074
0.0049,0.93106
0.005,0.9311
0.0051,0.93143
0.0052,0.93156
0.0053,0.93188
0.0054,0.93208
0.0055,0.93241
0.0056,0.93266
0.0057,0.93298
0.0058,0.93328
0.0059,0.93361
0.006,0.93397
0.0061,0.9343
0.0062,0.93469
0.0063,0.93503
0.0064,0.93545
0.0065,0.93577
0.0066,0.93623
0.0067,0.93656
0.0068,0.93705
0.0069,0.93738
0.007,0.93788
0.0071,0.9382
0.0072,0.93873
0.0073,0.93906
0.0074,0.93961
0.0075,0.93992
0.0076,0.94049
0.0077,0.94082
0.0078,0.94138
0.0079,0.9417
0.008,0.94229
0.0081,0.94261
0.0082,0.94319
0.0083,0.9435
0.0084,0.94409
0.0085,0.94442
0.0086,0.94502
0.0087,0.94532
0.0088,0.94593
0.0089,0.94623
0.009,0.94684
0.0091,0.94715
0.0092,0.94775
0.0093,0.94805
0.0094,0.94864
0.0095,0.94895
0.0096,0.94955
0.0097,0.94984
0.0098,0.95044
0.0099,0.95074
0.01,0.95133
0.0101,0.95162
0.0102,0.95221
0.0103,0.95249
0.0104,0.95308
0.0105,0.95336
0.0106,0.95393
0.0107,0.95421
0.0108,0.95478
0.0109,0.95505
0.011,0.95561
0.0111,0.95589
0.0112,0.95645
0.0113,0.95672
0.0114,0.95727
0.0115,0.95754
0.0116,0.95808
0.0117,0.95835
0.0118,0.95888
0.0119,0.95914
0.012,0.95967
0.0121,0.95992
0.0122,0.96045
0.0123,0.9607
0.0124,0.96121
0.0125,0.96145
0.0126,0.96196
0.0127,0.9622
0.0128,0.9627
0.0129,0.96294
0.013,0.96343
0.0131,0.96366
0.0132,0.96414
0.0133,0.96437
0.0134,0.96484
0.0135,0.96507
0.0136,0.96554
0.0137,0.96576
0.0138,0.96622
0.0139,0.96644
0.014,0.96689
0.0141,0.96711
0.0142,0.96755
0.0143,0.96776
0.0144,0.96819
0.0145,0.9684
0.0146,0.96882
0.0147,0.96903
0.0148,0.96945
0.0149,0.96965
0.015,0.97006
0.0151,0.97025
0.0152,0.97065
0.0153,0.97085
0.0154,0.97124
0.0155,0.97143
0.0156,0.97181
0.0157,0.97201
0.0158,0.97238
0.0159,0.97257
0.016,0.97294
0.0161,0.97313
0.0162,0.97349
0.0163,0.97367
0.0164,0.97403
0.0165,0.9742
0.0166,0.97455
0.0167,0.97473
0.0168,0.97506
0.0169,0.97524
0.017,0.97557
0.0171,0.97574
0.0172,0.97607
0.0173,0.97624
0.0174,0.97655
0.0175,0.97672
0.0176,0.97702
0.0177,0.97718
0.0178,0.97749
0.0179,0.97765
0.018,0.97795
0.0181,0.97811
0.0182,0.9784
0.0183,0.97856
0.0184,0.97885
0.0185,0.979
0.0186,0.97928
0.0187,0.97943
0.0188,0.9797
0.0189,0.97985
0.019,0.98012
0.0191,0.98026
0.0192,0.98053
0.0193,0.98067
0.0194,0.98093
0.0195,0.98107
0.0196,0.98132
0.0197,0.98145
0.0198,0.9817
0.0199,0.98183
0.02,0.98207
0.0201,0.98221
0.0202,0.98244
0.0203,0.98257
0.0204,0.98281
0.0205,0.98293
0.0206,0.98316
0.0207,0.98328
0.0208,0.9835
0.0209,0.98362
0.021,0.98384
0.0211,0.98396
0.0212,0.98417
0.0213,0.98429
0.0214,0.9845
0.0215,0.98461
0.0216,0.98481
0.0217,0.98493
0.0218,0.98512
0.0219,0.98523
0.022,0.98543
0.0221,0.98554
0.0222,0.98573
0.0223,0.98584
0.0224,0.98602
0.0225,0.98612
0.0226,0.98631
0.0227,0.98641
0.0228,0.98659
0.0229,0.98668
0.023,0.98686
0.0231,0.98695
0.0232,0.98712
0.0233,0.98722
0.0234,0.98739
0.0235,0.98748
0.0236,0.98764
0.0237,0.98774
0.0238,0.98789
0.0239,0.98798
0.024,0.98814
0.0241,0.98823
0.0242,0.98838
0.0243,0.98847
0.0244,0.98861
0.0245,0.9887
0.0246,0.98885
0.0247,0.98893
0.0248,0.98907
0.0249,0.98916
0.025,0.9893
0.0251,0.98938
0.0252,0.98951
0.0253,0.98959
0.0254,0.98972
0.0255,0.9898
0.0256,0.98993
0.0257,0.99001
0.0258,0.99014
0.0259,0.99021
0.026,0.99034
0.0261,0.99041
0.0262,0.99053
0.0263,0.9906
0.0264,0.99072
0.0265,0.99079
0.0266,0.9909
0.0267,0.99097
0.0268,0.99108
0.0269,0.99115
0.027,0.99126
0.0271,0.99132
0.0272,0.99143
0.0273,0.99149
0.0274,0.9916
0.0275,0.99166
0.0276,0.99176
0.0277,0.99182
0.0278,0.99192
0.0279,0.99198
0.028,0.99208
0.0281,0.99214
0.0282,0.99223
