0.0001,-2.0119,-2.0112
0.0002,-2.2668,-2.0105
0.0003,-2.2686,-2.0098
0.0004,-2.4171,-2.0091
0.0005,-2.4189,-2.0084
0.0006,-2.5329,-2.0077
0.0007,-2.5348,-2.0069
0.0008,-2.6294,-2.0062
0.0009,-2.6313,-2.0055
0.001,-2.713,-2.0048
0.0011,-2.7148,-2.0041
0.0012,-2.7865,-2.0034
0.0013,-2.7884,-2.0027
0.0014,-2.852,-2.002
0.0015,-2.8538,-2.0013
0.0016,-2.9108,-2.0006
0.0017,-2.9123,-1.9999
0.0018,-2.9638,-1.9992
0.0019,-2.9651,-1.9985
0.002,-3.012,-1.9978
0.0021,-3.0133,-1.9971
0.0022,-3.056,-1.9964
0.0023,-3.0573,-1.9957
0.0024,-3.0963,-1.995
0.0025,-3.0973,-1.9943
0.0026,-3.133,-1.9936
0.0027,-3.134,-1.9929
0.0028,-3.1671,-1.9922
0.0029,-3.168,-1.9915
0.003,-3.1986,-1.9908
0.0031,-3.1995,-1.9902
0.0032,-3.228,-1.9895
0.0033,-3.2287,-1.9888
0.0034,-3.2551,-1.9881
0.0035,-3.2557,-1.9874
0.0036,-3.2802,-1.9867
0.0037,-3.2807,-1.986
0.0038,-3.3036,-1.9854
0.0039,-3.3041,-1.9847
0.004,-3.3257,-1.984
0.0041,-3.3261,-1.9833
0.0042,-3.3462,-1.9826
0.0043,-3.3466,-1.982
0.0044,-3.3657,-1.9813
0.0045,-3.3662,-1.9806
0.0046,-3.3843,-1.9799
0.0047,-3.3843,-1.9793
0.0048,-3.4013,-1.9786
0.0049,-3.4015,-1.9779
0.005,-3.4174,-1.9773
0.0051,-3.4174,-1.9766
0.0052,-3.4325,-1.9759
0.0053,-3.4326,-1.9753
0.0054,-3.4468,-1.9746
0.0055,-3.4469,-1.9739
0.0056,-3.4604,-1.9733
0.0057,-3.4603,-1.9726
0.0058,-3.473,-1.9719
0.0059,-3.473,-1.9713
0.006,-3.485,-1.9706
0.0061,-3.4848,-1.9699
0.0062,-3.4963,-1.9693
0.0063,-3.4961,-1.9686
0.0064,-3.5072,-1.968
0.0065,-3.507,-1.9673
0.0066,-3.5176,-1.9667
0.0067,-3.5174,-1.966
0.0068,-3.5274,-1.9654
0.0069,-3.5272,-1.9647
0.007,-3.537,-1.964
0.0071,-3.5368,-1.9634
0.0072,-3.5461,-1.9627
0.0073,-3.5459,-1.9621
0.0074,-3.5547,-1.9614
0.0075,-3.5544,-1.9608
0.0076,-3.5628,-1.9602
0.0077,-3.5626,-1.9595
0.0078,-3.5706,-1.9589
0.0079,-3.5701,-1.9582
0.008,-3.5778,-1.9576
0.0081,-3.5775,-1.9569
0.0082,-3.5847,-1.9563
0.0083,-3.5842,-1.9556
0.0084,-3.5914,-1.955
